V,A
-1.70858,-4.297912514370438e-05
-1.7053822853566958,-4.330476336626126e-05
-1.7021845707133918,-4.3630401588818136e-05
-1.6989868560700876,-4.3956039811375006e-05
-1.6957891414267834,-4.428167803393188e-05
-1.6925914267834794,-4.460731625648876e-05
-1.6893937121401752,-4.4932954479045635e-05
-1.686195997496871,-4.525859270160251e-05
-1.682998282853567,-4.558853980322347e-05
-1.6798005682102628,-4.5867688035594955e-05
-1.6766028535669586,-4.609603739871698e-05
-1.6734051389236546,-4.629360533592407e-05
-1.6702074242803504,-4.648822911286117e-05
-1.6670097096370462,-4.667990872952826e-05
-1.6638119949937422,-4.6868315025644005e-05
-1.660614280350438,-4.703925501950129e-05
-1.6574165657071338,-4.718060903965109e-05
-1.6542188510638298,-4.7292377086093376e-05
-1.6510211364205256,-4.739482049237401e-05
-1.6478234217772214,-4.749894585079839e-05
-1.6446257071339174,-4.760475316136654e-05
-1.6414279924906132,-4.771222158933861e-05
-1.6382302778473092,-4.7819366546058945e-05
-1.635032563204005,-4.792466679605174e-05
-1.6318348485607008,-4.8028122339317016e-05
-1.6286371339173966,-4.8129733175854765e-05
-1.6254394192740926,-4.8235058711200305e-05
-1.6222417046307884,-4.834802119324513e-05
-1.6190439899874844,-4.8468620621989256e-05
-1.6158462753441802,-4.8597186157714016e-05
-1.612648560700876,-4.873150185392154e-05
-1.609450846057572,-4.88670246047018e-05
-1.6062531314142678,-4.90037544100548e-05
-1.6030554167709636,-4.9141614693281237e-05
-1.5998577021276597,-4.927286560807193e-05
-1.5966599874843554,-4.9396278051146987e-05
-1.5934622728410512,-4.9511852022506416e-05
-1.5902645581977473,-4.96211180479747e-05
-1.587066843554443,-4.9740312136703035e-05
-1.5838691289111388,-4.987011081394569e-05
-1.5806714142678349,-5.001051407970267e-05
-1.5774736996245307,-5.015323169107878e-05
-1.5742759849812265,-5.029061814924363e-05
-1.5710782703379225,-5.042267345419723e-05
-1.5678805556946183,-5.054939760593956e-05
-1.564682841051314,-5.067388444525988e-05
-1.56148512640801,-5.079435834555156e-05
-1.5582874117647059,-5.091030926284782e-05
-1.5550896971214017,-5.102173719714869e-05
-1.5518919824780977,-5.113340386381536e-05
-1.5486942678347935,-5.124507053048203e-05
-1.5454965531914893,-5.135673719714869e-05
-1.5422988385481853,-5.146840386381536e-05
-1.539101123904881,-5.157125297228546e-05
-1.5359034092615769,-5.167307434317617e-05
-1.5327056946182729,-5.177386797648751e-05
-1.5295079799749687,-5.1875357282605106e-05
-1.5263102653316645,-5.197701958063811e-05
-1.5231125506883605,-5.207517061442146e-05
-1.5199148360450563,-5.216981038395517e-05
-1.516717121401752,-5.226093888923922e-05
